business_id,business_postal_code,business_latitude,business_longitude,inspection_score,violation_id,violation_description,inspection_year,inspection_month,inspection_day
1791,94121.0,37.781597,-122.492544,96.0,103154.0,1.0,2018,5,16
58628,94133.0,37.808240000000005,-122.41018899999999,90.0,103145.0,3.0,2019,6,11
3485,94121.0,37.770346,-122.510896,90.0,103145.0,3.0,2017,7,11
984,94116.0,37.742086,-122.49873799999999,65.0,103105.0,3.0,2017,7,26
2664,94131.0,37.743602,-122.428803,60.0,103120.0,3.0,2019,6,13
2085,94109.0,37.783053,-122.41898799999998,86.0,103157.0,2.0,2017,9,20
63601,94103.0,37.784163,-122.40473899999999,86.0,103161.0,1.0,2019,6,7
3072,94107.0,37.779522,-122.398104,84.0,103116.0,3.0,2019,7,1
22606,94131.0,37.734072,-122.433948,86.0,103116.0,3.0,2019,8,6
315,94114.0,37.760954,-122.43493500000001,94.0,103116.0,3.0,2019,7,23
1615,94111.0,37.794184,-122.396524,88.0,103149.0,1.0,2019,7,25
5827,94134.0,37.729015999999994,-122.419253,88.0,103120.0,3.0,2019,9,3
3862,94134.0,37.728458,-122.40399099999999,65.0,103125.0,3.0,2019,3,11
62896,94105.0,37.789057,-122.395322,78.0,103105.0,3.0,2017,10,18
4982,94109.0,37.788658,-122.423627,92.0,103151.0,4.0,2019,8,19
10433,94102.0,37.788128,-122.409705,92.0,103144.0,2.0,2019,7,30
33113,94102.0,37.785446,-122.412972,88.0,103144.0,2.0,2019,8,5
33527,94115.0,37.782817,-122.432577,86.0,103145.0,3.0,2019,8,1
2733,94111.0,37.794563000000004,-122.40376599999999,94.0,103119.0,4.0,2018,6,15
2109,94109.0,37.786353999999996,-122.416628,86.0,103152.0,1.0,2019,6,6
328,94115.0,37.783017,-122.432584,87.0,103124.0,1.0,2019,7,9
21143,94107.0,37.783272,-122.398204,88.0,103119.0,4.0,2019,7,19
3649,94103.0,37.765708000000004,-122.409002,92.0,103149.0,1.0,2019,7,1
60115,94122.0,37.752922999999996,-122.50575900000001,77.0,103133.0,1.0,2019,8,5
1615,94111.0,37.794184,-122.396524,88.0,103124.0,1.0,2019,7,25
66400,94110.0,37.759484,-122.41910700000001,75.0,103124.0,1.0,2019,9,26
70090,94103.0,37.770126,-122.415342,90.0,103124.0,1.0,2019,8,7
68352,94115.0,37.788247999999996,-122.446674,96.0,103131.0,1.0,2019,6,17
67510,94105.0,37.788864000000004,-122.39461299999999,77.0,103150.0,4.0,2019,8,29
164,94104.0,37.789064,-122.40286100000002,83.0,103124.0,1.0,2017,9,8
7491,94110.0,37.764773,-122.41741599999999,98.0,103156.0,2.0,2019,8,7
